country,city,lat,lon,pageviews,pageviews_dby,pct_change
Kyrgyzstan,Bishkek,42.52,74.36,,,
Laos,Vientiane,17.58,102.36,121.0,122.0,-0.8
Latvia,Riga,56.57,24.06,,,
Lebanon,Beirut,33.52,35.3,412.0,250.0,64.8
Lesotho,Maseru,-29.19,27.29,,,
Liberia,Monrovia,6.18,-10.48,,,
Libya,Tripoli,32.53,13.1,221.0,125.0,76.8
Liechtenstein,Vaduz,47.08,9.31,,,
Lithuania,Vilnius,54.41,25.19,,,
Luxembourg,Luxembourg,49.36,6.07,,,
Macedonia Republic of,Skopje,42.0,21.26,,,
Madagascar,Antananarivo,-18.55,47.31,153.0,135.0,13.3
Malawi,Lilongwe,-13.59,33.47,,,
Malaysia,Kuala Lumpur,3.1,101.42,482.0,357.0,35.0
Maldives,Male,4.1,73.3,136.0,148.0,-8.1
Mali,Bamako,12.39,-8.0,,,
Malta,Valletta,35.53,14.3,105.0,80.0,31.2
Man Isle of,Douglas,54.09,-4.29,,,
Marshall Islands,Majuro,7.06,171.23,,,
Mauritania,Nouakchott,18.07,-16.02,,,
Mauritius,Port Louis,-20.09,57.29,232.0,165.0,40.6
Mayotte,Mamoudzou,-12.46,45.13,,,
Mexico,Mexico (Distrito Federal),19.26,-99.08,635.0,516.0,23.1
Micronesia Federated States of,Palikir,6.55,158.09,,,
Moldova,Chisinau (Kishinev),47.0,28.51,,,
Monaco,Monaco,43.44,7.25,,,
Mongolia,Ulaanbaatar,47.55,106.55,,,
Montserrat,Plymouth,16.42,-62.13,,,
Morocco,Rabat,34.01,-6.49,504.0,414.0,21.7
Mozambique,Maputo,-25.57,32.35,155.0,102.0,52.0
Namibia,Windhoek,-22.34,17.05,117.0,68.0,72.1
Nepal,Kathmandu,27.43,85.19,161.0,105.0,53.3
Netherlands,Amsterdam,52.23,4.54,118.0,141.0,-16.3
Netherlands Antilles,Willemstad (on Curacao),12.06,-68.56,,,
New Caledonia,Noumea,-22.16,166.27,,,
New-Zealand,Wellington,-41.28,174.51,149.0,116.0,28.4
Nicaragua,Managua,12.09,-86.17,,,
Niger,Niamey,13.31,2.07,,,
Nigeria,Abuja,9.05,7.32,627.0,336.0,86.6
Niue,Alofi,-19.01,-169.55,,,
Norfolk Island,Kingston,-29.03,167.58,,,
Northern Mariana Islands,Saipan,15.12,145.45,,,
Norway,Oslo,59.55,10.45,,,
Oman,Muscat,23.37,58.35,173.0,140.0,23.6
Pakistan,Islamabad,33.42,73.1,305.0,213.0,43.2
Palau,Melekeok,7.29,134.38,,,
Panama,Panama,8.58,-79.32,,,
Papua New Guinea,Port Moresby,-9.3,147.1,,,
Paraguay,Asuncion,-25.16,-57.4,,,
Peru,Lima,-12.03,-77.03,246.0,191.0,28.8
Philippines,Manila,11.87,122.86,213.0,145.0,46.9
Pitcairn Islands,Adamstown,-25.04,-130.05,,,
Poland,Warsaw,52.15,21.0,159.0,95.0,67.4
Portugal,Lisbon,38.43,-9.08,231.0,189.0,22.2
Puerto Rico,San Juan,18.28,-66.07,,,
Qatar,Doha,25.17,51.32,182.0,121.0,50.4
Romania,Bucharest,44.26,26.06,,,
Russia,Moscow,55.45,37.35,284.0,194.0,46.4
Rwanda,Kigali,-1.57,30.04,101.0,79.0,27.8
Samoa,Apia,-13.5,-171.44,,,
San Marino,San Marino,43.56,12.25,,,
Saudi Arabia,Riyadh,24.38,46.43,,,
Senegal,Dakar,14.4,-17.26,,,
Serbia and Montenegro,Belgrade (Beograd),44.5,20.3,,,
Seychelles,Victoria,-4.38,55.27,,,
Sierra Leone,Freetown,8.3,-13.15,,,
Singapore,Singapore,1.17,103.51,217.0,179.0,21.2
Slovakia,Bratislava,48.09,17.07,,,
Slovenia,Ljubljana,46.03,14.31,,,
Solomon Islands,Honiara,-9.26,159.57,,,
Somalia,Mogadishu,2.04,45.22,135.0,101.0,33.7
South-Africa,Pretoria (administrative capital),-25.42,28.13,411.0,284.0,44.7
